,composition_name,bulk_mod,num_atoms,volume,density,spacegroup,spacegroup_num
0,Cs10K6Pb36,18.060030493905405,52,2346.196295036489,6.385989746572484,P1,1
1,Nb2O23Rb4Si8,87.29711839967719,37,570.5855541874574,3.2604958843676273,P-1,2
2,Na2O8P2V1,83.80585436178187,26,350.36827088376066,2.7191302643998907,P4bm,100
3,Er6I7,39.01710832089868,13,459.6267959464488,6.835000616319358,C2/m,12
4,F10K5Li2Pr1,58.2633477204169,72,1157.8782699421276,3.0992254171229896,Pnma,62
5,Ag1O4S1,76.85111290307724,12,169.1531699795302,4.003886658748053,P-1,2
6,H4Na2Pt1,46.32241736026443,7,94.02557679425492,4.328506478502542,I4/mmm,139
7,Ba1Cu6Ge2S8,76.16289359891755,68,1306.9005748297986,4.677831406462983,Pbcm,57
8,As2Cl3F5O1,35.3749581149312,44,919.0430001510852,2.6538011573947298,P2_1/c,14
9,P4S7,25.2534727301304,44,1363.629406774882,1.6967919896185686,P2_1/c,14
10,H18Cl4K1N6O8Ru1,60.10799923579698,38,410.73903997061086,2.0705589536042055,R-3m,166
11,C2H24B6N8O2,72.88488230140857,84,762.1669735272202,1.1204237990343016,P-1,2
12,Fe2Ni1O8P2,123.11369598608128,26,304.5029589777832,3.9299165277550614,P2_1,4
13,Hg3O5Se4,41.38689727243134,24,524.3530064986746,6.3185120561249715,P-1,2
14,C6H22O6Pt2S1,68.57118333649079,74,757.3808957529861,2.68564341059113,P2_1,4
15,F12S19Sb2,32.19483411919331,132,3112.23618031106,2.306514000050649,P2_1/c,14
16,Ba4O10Ru3,104.61195881958677,34,524.301604885339,6.4135440965090735,P2_1/c,14
17,Cl6Gd3N1,68.53748067756699,20,488.62584976335313,4.747372767705353,P-1,2
18,C1F1K3O3,51.46283283726926,16,273.1697862983142,2.386555861029812,R-3c,167
19,C1K4O4,48.81091407405006,9,152.90895804659002,2.5238009258349403,I-42m,121
20,O38Sb22Sr5,81.85768608170862,130,2421.758300331609,5.108000468019755,P2_1/c,14
21,Ce14Ni6Si11,106.79431033253498,62,1344.0761379943933,6.480491743411554,C2/m,12
22,C2Cl9La5,70.68110971591103,32,800.7188636009154,4.303678039097355,P-1,2
23,H26Al1Ba1Mo6Na1O34,76.83988732051121,138,1563.3730831966438,2.8319600536603904,C2/c,15
24,Ca2Cl2Cu1O2,76.49057053877219,7,115.21141865211318,3.554337150605878,I4/mmm,139
25,Bi4Sn1Te7,27.83429210452119,12,423.39942256097504,7.247049468651779,P-3m1,164
26,C24F20Sn1,79.82405754022004,90,1287.097577584163,2.0305159566755697,I4_1/a,88
27,Cr1O5Pb2,77.11490577299625,16,274.19765284340104,6.617905579147017,C2/m,12
28,P3Pd4Zr3,152.2498608830684,40,643.8495000131278,8.17334325987505,Pnma,62
29,Ba2Cr5S10,69.55051294386416,34,703.0396981914565,4.0402649493647225,P-1,2
30,H26Na4O13Se6Sn2,48.821026800272826,102,1357.2835693417348,2.5382165428714787,P-1,2
31,B1Si2Ti6,147.00040743991704,9,132.28798961578715,4.4458788017931035,P-62m,189
32,O13Re2S2,93.20521995337734,68,944.5552547994167,4.532408387967487,Pbcm,57
33,Ag6O8S1Si1,103.21382793810714,32,455.4763721117491,6.09093920501065,I4_1/amd,141
34,H32Cl12Cu1O22W6,53.00414159158331,73,1032.9198200069793,3.177073045310772,P-1,2
35,Cu2Li3O4,94.97150989057545,9,90.04663175843496,3.9078546763279296,C2/m,12
36,C4H4B1N5,55.88157406602768,28,412.8103267914488,1.0693399728696973,I4_1/a,88
37,F5Fe1K2,55.160659510108665,64,1018.7275984393178,2.9866218801988573,Pbam,55
38,H12N6Ni1O4,58.943208297368265,23,233.64409351469055,1.5552283534345643,C2/m,12
39,C5K3N5O1V1,48.70250081721003,60,1154.9535608235276,1.8076754135497213,Pna2_1,33
40,C1H2Ca4O11Si2,99.72523362337276,160,1991.0990244629081,2.7121266021870554,P2_1/c,14
41,H2Ba1O14Se4V2,89.16731496522259,46,638.3518649654832,4.063515844416865,P2_1/c,14
42,Mo18S22Tl4,81.82185914258935,44,909.7159801246928,5.932135010695674,R-3,148
43,C6H6Gd1K3O15,74.63448028599215,62,788.7428763278815,2.495400604019152,P-1,2
44,Be8Na6O11,90.50120404614768,25,266.85165367485524,2.402147446928112,P-1,2
45,Cl1O8Si2Y3,140.0202776289004,56,774.14090879576,4.172786446098225,Pnma,62
46,Cl1O9Re1S2,62.16110780129545,26,433.2475393993613,3.294532818408922,P-1,2
47,Ag1Nb1O3,162.49855743207354,40,513.7503278083724,6.432648662768679,Pbcm,57
48,Ba2N23Nd7Si11,135.22971693998966,86,1249.944852395717,5.089292157223777,Cmmm,65
49,H2,51.88555580258055,16,127.49071057039504,0.21005122513482502,Pnma,62
50,C1H2Al1K1O5,85.05685128299407,20,221.83593213322874,2.396888355506319,Cmcm,63
51,Fe4O24V6Zn3,108.03363116254205,37,486.347571610194,3.7872894173186054,P-1,2
52,H8O14P2Sr1V2,104.22954079288523,54,534.9429048329321,3.0017409466692113,Cc,9
53,B1Ca1Li1O3,109.09939864430092,48,510.02672567538684,2.756433756921279,Pbca,61
54,Cl16Hg3Tl10,27.452079970921364,29,913.8473649411555,5.8380259169521285,I4/m,87
55,Na4O7V2,67.39724140500316,104,1495.710727413574,2.716331353092421,C2/c,15
56,O49W18,103.16779546495299,67,943.2129869625793,7.205940692484215,P2/m,10
57,Br12Te1Zr2,17.547292434762998,60,2430.2923795842075,3.4679800622392,P2_1/c,14
58,F6Li2Mn1,69.94639891019506,54,635.5500885559422,2.865837859707831,P1,1
59,H11Ge1Na3O9,72.87538874756096,192,1768.5360986593373,2.2285885286937415,Pbca,61
60,H7Ba2O7Tl1,72.9899494995689,34,420.1328948212674,4.72778794840014,C2/c,15
61,Ag1Ga1Se4Sn1,33.00273693069168,7,199.9732613468383,5.083101460811751,I-4,82
62,Ba1O9P2V1Zn1,102.57171108592237,112,1550.942424880965,3.9367874870613835,Pbca,61
63,Na2O11Si4Ti1,104.38182060814306,36,468.1925091311907,2.7109704967533936,I4/m,87
64,Br1Mo1S1,61.803722328215606,12,256.1746488014795,5.39071322494961,F-43m,216
65,F4K2O1Te1,44.56091354029245,16,309.2600626297855,3.197899408524932,Cmcm,63
66,Be1F12Li6Zr1,86.561600930954,40,420.1777219619577,2.9233915201267098,I4_1/amd,141
67,H12F6In1N3,73.3568850991618,88,829.0230225291488,2.2667936048831514,P2_1/c,14
68,H12Cu1N2O6Sn1,94.46942257234332,22,182.38474619168565,2.898548380078659,P-1,2
69,Au1Cr1S2,73.57770028510465,4,78.21247890207367,6.647310194470495,R-3m,166
70,F7Mn1Tl1Zr1,97.70663143745246,20,319.7121818484772,5.022813771820177,Cmcm,63
71,H4Au1F16Sb2,59.91559751321498,23,312.713065076276,3.9745749103478683,P-1,2
72,I6Pd1Rb2,17.921196134897688,36,1548.0021220822537,4.457200065816534,Pnma,62
73,Ga2Ge1S6Sn1,43.10075461257374,40,1001.2131333086817,3.4708725373075526,Fdd2,43
74,H9F3N2O5S1Te1,70.4515131126428,42,446.61109175331677,2.4817643581715654,P1,1
75,Na6O25Se2W6,91.45449358522374,78,1090.162202338259,5.48013224765327,C2,5
76,As1Ge1Se1,33.48951231193492,24,677.5695661479849,4.441143581665362,Pnna,52
77,Ag4O4S1Te1,69.80933124861896,40,722.4627695759586,6.023163941035384,P2_13,198
78,B11Li6O22Rb5,82.43622230048608,44,565.423934219926,2.760280593656304,C2,5
79,Al2Ba5Ge7,37.69212767445861,28,829.2046435029853,5.002728724870542,C2/m,12
80,O4Pd3Tl1,106.16940271134001,16,232.3381086404667,8.399833133633654,Fm-3m,225
81,H2I3K1O1,26.374994011453612,14,418.32076612717253,3.4759394234130148,Pc,7
82,H12Al2Cl6N4,44.308001422183594,96,1388.838271994173,1.6012050743773096,Pnma,62
83,H2B10Ba2Na2O19,123.76234502691707,35,368.75173396436526,3.3086699710101577,C2,5
84,Nb1O3Rb1,75.10720778870913,20,367.75628886037305,4.088579224617305,P-1,2
85,I6K2Tc1,18.80280365364779,18,752.5978782558478,4.137562338807993,P2_1/c,14
86,B12Br12Na2O16S8,48.54643164985785,100,2214.8363451779887,2.46973008579697,P2_1/c,14
87,O10Sr1V4,110.4953936919175,30,404.46948940759336,3.706257918142176,P-1,2
88,Ag1Cs2I3,14.67793216940807,24,1182.7758522150266,4.236468772572612,Pnma,62
89,C1P2V4,200.05316743553095,21,249.15671241242487,5.552793491629469,P-62m,189
90,K1O12P3Ti2,101.99238742729455,72,976.9055020382438,2.853931196263759,P2_13,198
91,C6I8O6Re4,45.00050323940281,48,1278.2731811801473,5.009454742822931,C2/c,15
92,K4O14S3U1,64.26437204613957,176,2980.5452665741223,3.185016362194866,Pnma,62
93,C3Na3O9Y1,94.39207965483124,32,392.71788546929105,2.8575181135411523,Ama2,40
94,Cl2Nb1S2,50.006703018425995,10,248.9815149326119,3.040444404286217,C2/m,12
95,Cl16Mo4O2,20.636494638255005,44,1257.8264636964477,2.5954632713585237,P2/c,13
96,C1Cl8Sc5,69.67350424628079,14,302.5909107992868,2.855896124781308,C2/m,12
97,H6Cl8Hg3N2Pt1,37.50196382109698,40,854.4847748468951,4.3318164855599015,C2/c,15
98,C6Ce12I17,42.381477651270664,70,2401.419781946934,5.408541799507286,C2/c,15
99,F44K16O16P4Ti10,65.86939743657084,180,2843.132606639233,2.710071924315754,P2_1/c,14
100,F18N1O4S2Sb3Xe1,46.556691440181794,116,2005.3103146141284,3.24828540461598,P2_1/c,14
101,Ir1Si3,129.47347513712802,8,126.96467056618752,7.231855059873617,P6_3mc,186
102,Cl1F5Ge1O2,54.20447521521757,36,524.4739369670099,2.9771993068014795,C222_1,20
103,Ni3O14P4Sr1,127.29421089642453,44,515.3011623056167,3.941632303637,P2_1/c,14
104,Ba2O24P4V5,92.60022727104948,70,1048.4354144922418,3.2856217645266197,Cm,8
105,Br11Sm5,46.547577768191296,64,1912.6262252594252,5.663237456144896,P2_1/m,11
106,Cr4Sc2Si5,143.7334405190433,22,298.64561497596037,4.8743636673063815,Ibam,72
107,Na1O8P1W2,103.15338178639698,24,338.39240515568747,5.394308925975961,P2_1/m,11
108,Ag3As1S3,48.703870970277855,28,631.1673805523214,5.206250544547159,C2/c,15
109,Bi2Cu1O4,93.32208583403572,28,435.6336080999684,8.317369003305407,P4/ncc,130
110,Ba1Ge4Rh2S6,78.07670002651126,52,1067.774578393143,5.13873030584325,Pbca,61
111,Er2Sn5,66.80851804082124,14,370.84393535711797,8.311276111215223,Pmmn,59
112,B3Mo1,244.8000556356682,8,74.00516977351107,5.760905143492877,R-3m,166
113,Au2Ba9O12,69.64010378160616,92,1824.3999849804316,6.632941395922018,Pnma,62
114,Mn1O6Pt3,152.90075244514048,10,118.84256771798981,10.286435035001528,Cmmm,65
115,Ba1Ca1O9P2V1,103.32255165404837,56,761.2865744204312,3.789128827766198,P2_1/c,14
116,As1F5,44.77489735626135,12,202.46482496279546,2.7871329982096174,P6_3/mmc,194
117,As1F9O3S1Xe2,35.584560167654,64,1240.3299552691478,3.151809528647256,P2_1/c,14
118,O21P6U2,85.06963803813099,58,981.1786658017973,3.3776349210469747,Cc,9
119,B12Cl12,35.50911196652965,64,1636.7091064111823,1.5020028485454273,P2_12_12_1,19
120,Ba1Mn2O8,55.184259114609695,22,399.7444559955268,3.1171485128663687,Fddd,70
121,B4La2Ni5,188.39319931073092,11,140.35717309058052,7.270292398909134,C2/m,12
122,Br1Cu1La1Nb2O7,141.43066930594924,24,367.66010446630946,5.240628641225739,C2,5
123,Cs1F11Sb2,52.141771576314376,56,1046.3107505854898,3.7162675271427834,P2_1/c,14
124,P2Rb4Se9,24.492805250280643,30,1052.288460109568,3.5172907799872593,C2/c,15
125,Ca2Li2O13Si5,103.37293800759825,44,554.5583604958039,2.649742023584701,P-1,2
126,C3H9Hg1I3S1,31.545640061035236,68,1479.5766133737761,2.956030584865266,P2_1/c,14
127,P2S6Tl2,36.960545290470385,10,273.6494042560515,4.023799379790612,Immm,71
128,Li1Rh3Sn5,97.39722864529098,36,702.690596540069,8.594249479526818,Pbcm,57
129,H3Cl5N4O1S4Sn1,34.37926095297659,72,1527.3293236099391,2.1713255111702408,P2_1/c,14
130,Cl4Cs3Li1,21.732522995860723,8,288.8248848543216,3.147562071615516,Amm2,38
131,H36Li2Na4O46V10,76.69759326828658,98,1027.604630254028,2.2421285981117243,P-1,2
132,In2Li3,38.12894692261138,5,96.15333811373213,4.325351175948129,R-3m,166
133,Ag3Na1S2,59.61259505844847,24,496.9144491316271,5.490070671005377,Fd-3m,227
134,C16H8Al1F36Li1O8,73.114357609761,70,854.9202387444708,2.0318639010346367,I-4,82
135,Fe5O12Tb3,165.9169468982097,80,993.6648136484631,6.336868534336372,Ia-3d,230
136,As1S3Tl3,35.94772212653274,7,204.1801917585623,6.378215000481487,R3m,160
137,Al1Ca1F14Mg3Na3,83.46739426413045,22,272.92057213708523,2.8895794977882097,R-3m,166
138,Ba2Ni1Si3,50.88393341569907,18,446.2785845111074,4.661533945713636,P-62m,189
139,Br20Mo6Se14Te4,18.854626021530617,44,1524.9333162511825,4.126549245244622,P-1,2
