compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
Ag1Al1S2,604698,122,2.32,3.498,0.066,2,1,8.41,1.07,415.21,0.72,3.9,Non-Zintl
Ag1Al1S2,28744,122,2.32,3.541,0.068,2,1,10.57,1.05,398.89,0.71,3.83,Non-Zintl
Ag1Al1S2,604692,122,2.32,3.563,0.066,2,1,8.49,1.04,414.62,0.71,3.88,Non-Zintl
Ag1Al1S2,25356,156,1.86,1.734,0.046,3,1,31.25,3.77,880.11,1.37,4.03,Non-Zintl
Ag1Al1S2,604694,122,2.32,3.61,0.067,2,1,9.36,1.02,400.72,0.7,3.83,Non-Zintl
Ag1Al1Se2,604704,122,1.53,2.02,0.036,1,1,5.13,2.05,860.2,0.58,6.5,Non-Zintl
Ag1Al1Te2,28746,122,1.32,0.594,0.034,1,1,3.6,10.4,749.17,1.29,7.16,Non-Zintl
Ag1Ba1La1Se3,659172,63,1.93,1.042,0.726,3,1,1.51,4.05,6.96,3.49,1.44,Non-Zintl
Ag1Ba1Se3Y1,78177,63,1.64,0.607,0.504,2,1,1.91,10.29,13.63,3.07,1.72,Non-Zintl
Ag1Ba1Te3Y1,88717,63,1.05,0.328,0.413,2,1,1.48,23,16.31,4.59,2,Non-Zintl
Ag1Ba2In1S4,183654,14,1.87,1.448,0.118,4,1,1.5,2.34,100.24,4.73,5.32,Non-Zintl
Ag1Cd2Ga1S4,170108,31,1.29,0.781,0.032,2,1,4.03,9.22,1136.15,2.41,8.26,Non-Zintl
Ag1Cd2Ga1S4,90459,31,1.29,0.784,0.033,2,1,4.41,9.17,1060.39,2.4,8.03,Non-Zintl
Ag1Cr1S2,24797,160,0.88,1.411,0.637,1,1.5,25.09,4.87,16.06,0.55,1.34,Non-Zintl
Ag1Cr1S2,42395,160,0.87,1.386,0.64,1,1.5,25.19,5.01,15.97,0.56,1.33,Non-Zintl
Ag1Cr1S2,604981,160,0.88,1.405,0.652,1,1.5,7.26,4.9,15.5,0.55,1.32,Non-Zintl
Ag1Cr1S2,42396,160,0.86,1.252,0.63,1,1.5,25.02,5.81,16.28,0.59,1.34,Non-Zintl
Ag1Cr1Se2,68423,160,0.19,0.619,0.233,1,4,14.44,13.82,59.87,1.05,7.54,Non-Zintl
Ag1Cu1S1,30233,63,0.65,0.42,0.759,2,1,3.24,12.89,5.31,4.14,1.45,Non-Zintl
Ag1Cu1S1,66582,26,0.64,0.739,0.528,2,1,1.2,3.29,5.45,4.14,2.53,Non-Zintl
Ag1Cu1S1,66581,26,0.64,0.496,0.527,4,1,1.24,6.15,5.62,10.44,2.52,Non-Zintl
Ag1Cu1S1,66580,36,0.64,0.414,0.756,2,1,3.19,12.91,5.24,4.17,1.45,Non-Zintl
Ag1Fe1S2,56263,122,1.18,0.331,2.783,10,4,7.62,33.7,1.38,16.48,1.84,Non-Zintl
Ag1Fe2Ga1Te4,192470,121,1.25,1.109,0.6,5,1,3.69,4.26,10.7,4.5,1.3,Non-Zintl
Ag1Fe2S3,68347,64,1.39,3.962,2.985,3,4,1.62,0.37,0.57,1.91,3.01,Non-Zintl
Ag1Fe2S3,165661,14,0.95,8.556,2.395,0.5,1.5,2.5,0.18,1.25,0.17,1.11,Non-Zintl
Ag1Ga1S2,23698,122,1.41,0.941,0.043,1,1,6.53,7.35,741.24,0.87,5.52,Non-Zintl
Ag1Ga1S2,605184,122,1.41,0.931,0.043,1,1,6.49,7.43,735.67,0.88,5.53,Non-Zintl
Ag1Ga1S2,605175,122,1.41,0.97,0.045,1,1,6.55,7.04,694.32,0.86,5.37,Non-Zintl
Ag1Ga1S2,605182,122,1.41,0.97,0.045,1,1,6.55,7.04,694.32,0.86,5.37,Non-Zintl
Ag1Ga1S2,605187,122,1.41,0.961,0.044,1,1,6.53,7.12,730.74,0.86,5.49,Non-Zintl
Ag1Ga1S2,605177,122,1.41,0.97,0.044,1,1,6.49,7,715.05,0.86,5.46,Non-Zintl
Ag1Ga1S2,605179,122,1.41,0.97,0.045,1,1,6.55,7.04,694.32,0.86,5.37,Non-Zintl
Ag1Ga1S2,600584,122,1.41,0.958,0.044,1,1,8.13,7.17,725.45,0.86,5.47,Non-Zintl
Ag1Ga1S2,28747,122,1.41,0.935,0.045,1,1,6.53,7.42,695.13,0.88,5.38,Non-Zintl
Ag1Ga1S2,92052,9,1.41,0.953,0.046,1,1,6.53,7.19,688.35,0.87,5.36,Non-Zintl
Ag1Ga1S2,605186,122,1.41,0.961,0.045,1,1,6.49,7.1,700.5,0.86,5.41,Non-Zintl
Ag1Ga1S2,42125,122,1.41,0.959,0.044,1,1,6.51,7.13,734.13,0.86,5.51,Non-Zintl
Ag1Ga1S2,156126,122,1.41,0.959,0.044,1,1,6.53,7.14,725.39,0.86,5.47,Non-Zintl
Ag1Ga1S2,603823,122,1.41,0.987,0.046,1,1,6.49,6.81,687.41,0.85,5.38,Non-Zintl
Ag1Ga1S2,605191,122,1.41,0.971,0.045,1,1,6.49,6.99,704.83,0.86,5.43,Non-Zintl
Ag1Ga1S2,156785,122,1.41,0.958,0.044,1,1,6.53,7.14,726.2,0.86,5.48,Non-Zintl
