,composition_name,kappa
0,CT800,1.7
1,NbO2,3.0
2,Cu12Sb4S13,1.275
3,BaCu2Te2,0.95
4,ZrO2,1.7
5,Cu8GeSe6,0.30000000000000004
6,SnFe4Sb12,0.7
7,LaCo4Sb,1.4
8,AgPb18SbTe18Se2,0.78
9,Sb2Te3,0.8
10,Si96B4,11.8
11,CsSnI3,0.54
12,SnSb2Te4,0.56
13,Cu2SnS3,0.4
14,Gd8Bi3O8,0.95
15,Ag3Cl4,0.495
16,Ca2Co2O5,1.55
17,Ba8Ga16Ge30,2.0
18,CrSb2,30.3
19,La10Nb20,3.715
20,TlBiTe2,1.76
21,Ba8Si46,1.0
22,Yb3NbO7,1.04
23,Pb7Bi4Se13,0.33
24,Cu3AgSe2,0.9
25,Cu2Se,0.48
26,In2S3,0.7
27,Cu3ErTe3,1.2
28,La1Ir4Ge3Sb9,2.7
29,Tl2O,0.49
30,AgPb10SbTe12,0.5700000000000001
31,Bi14Rh3I9,0.28
32,Cu10Mn2Sb4S13,0.17
33,TlGaTe2,0.7
34,C16As4,8.05
35,Bi2Te2S,3.73
36,Sr2Si,1.0
37,BaZn2Sb2,1.2
38,Sr3SbN,0.11
39,Ag9GaSe6,0.26
40,FeSb2Te,2.9
41,In2O3,1.2
42,SBNL10,1.215
43,NaSbS2,0.9630000000000001
44,La2Ti2O7,0.37
45,Ba8Ga16Si30,1.1
46,Cu2ZnSnSe,0.8
47,CdSiP2,13.6
48,CaFeO3,4.6
49,Ti2CO2,21.88
50,CO2,0.048100000000000004
51,Mo2C,48.4
52,SrIn2P2,1.12
53,HfO2,11.43
54,NaPb13Sn5SbTe20,1.0
55,CeFe4Sb12,2.3
56,BaDyAlO5,1.8
57,CuSbSe2,0.49
58,Yb3TaO7,1.1600000000000001
59,SbP3,0.64
60,CaCO3,1.77
61,LaFe4Sb12,1.5
62,Fe2Ge3,1.8
63,SnSe2,3.82
64,AgSn25SbTe27,3.4
65,SrRuO3,6.0
66,RuSb2,750.0
67,Ba2YbAlO5,1.4
68,Bi2Te2Se,2.61
69,AgSn5BiTe7,1.6
70,Tl9LaTe6,0.4
71,Bi2Te,2.0
72,Ag2SeChy,0.15000000000000002
73,Ti9Ni7Sn8,1.0
74,Ag2Se,0.75
75,TiB2,25.0
76,CaMnO3,3.6
77,TlV5Se8,3.0
78,Bi2O2S,1.0
79,SrOCuBiSe2,0.45
80,YAgTe2,0.47
81,Cu3SnS4,0.39
82,Mg64Si31Pb,3.76
83,Co3O4,1.6
84,AgPb18SbTe20,0.9750000000000001
85,ErB44Si2,1.5
86,Cr2Si2Te6,1.0
87,IrSb3,1.8
88,SrTiO3nanowire,2.0
89,YbFe4Sb12,0.34
90,Na3OCl,6.48
91,CsPb3Bi3Te8,1.5
92,HfSe2,3.3
93,Ta2O5,0.82
94,SrMoO3,30.0
95,Cu2ZnGeSe4,0.8
96,Cu26Nb2Ge6S32,0.6
97,CuGaTe2,4.35
98,Ti3SiC2,32.0
99,Ga2STe,26.16
100,Sr2PtSe,7.9
101,Cu2Te,2.4
102,Bi2Mo2O9,1.0
103,CuSn7InTe9,2.1
104,CaCl2,2.5549999999999997
105,La2Mo2O9,0.82
106,In2Ge2Te6,0.35
107,SiO2,1.48
108,Sn2Bi,0.19
109,BT10,1.3
110,Cu2CdGeSe4,1.37
111,SS1,0.3
112,Li2SnX3,7.25
113,Bi85Sb15,0.85
114,Ba8Cu6Ge24Si16,0.91
115,CT2,3.8
116,SrTiO3,10.0
117,ThO2,70.905
118,NaCo2O4,2.0
119,SrB6,20.0
120,Ag2Te,0.5650000000000001
121,Yb14MnSb11,0.7
122,Tl4Ag18Te11,0.44
123,YCuTe2,0.5
124,CuInS2,5.71
125,Cs2BiAgBr6,72.63
126,TiS2,2.11
127,Ba8Al18Si28,3.1
128,SN05,1.79
129,VT51,0.0158
130,TlInTe2,0.41500000000000004
131,AgPb18SbTe16Se4,0.53
132,SnS2,2.06
133,Li2SnSe3,1.0
134,Tl9TbTe6,1.07
135,Cu3SbSe4,0.485
136,FeSb3,1.14
137,Cu2S,0.4
138,Cu2GeSe3,2.18
139,CS1,0.99
140,AgBiTe2,0.7
141,Si2Ge,0.28
142,CsBi4Te6,0.5
143,Cu4Sn7S16,1.05
144,PdS2,32.32
145,Al6Si2O13,4.2
146,Ti9O17,2.25
147,ZrS2,3.29
148,AgSbSe2,0.49
149,ReSe2,118.58
150,Hf2CO2,86.25
151,AgInTe2,2.0
152,Ca3Si4,3.2
153,CoSb2,9.0
154,BaHfO3,7.42
155,YbCu9Sn4,2.7
156,La5Nb5,4.58
157,Tl2Ag12Te7,0.25
158,Eu8Ga16Ge30,1.0
159,CoCl2,1.13
160,CuFeO2,4.075
161,Cu26V2M6S32,1.0
162,BaCu2Se2,0.68
163,Sb2Te3nanosheet,0.89
164,Bi2O2Te,0.91
165,MoSe2,43.0
166,C18N6,1.36
167,Ba8Ga10Si36,1.128
168,AgGaS2,1.4
169,Dy2Ti2O7,1.92
170,Ba24Ge100,2.8
171,SnO2,42.5
172,In5Se5Br,0.55
173,PbTiO3,15.0
174,CuFeS2,6.4
175,BaMoO3,30.0
176,CeSe2,0.71
177,Mn31Ru1Si56,2.0
178,Ba2Sb2Se5,0.4
179,Ag6Ge10P12,1.35
180,CsAg5Te3,0.15000000000000002
181,Sn15Se16,0.89
182,BT90,0.21
183,Na2BiSbS4,0.8
184,AgBiSe2,0.535
185,Cr2Ge2Te6,1.0
186,ZrSe2,3.41
187,Ba5Cu8In2S12,0.3
188,BT150,0.00031
