,Name,Label,Editing,Model,Model_Type,Specifier,Value,Units,Temperature_Value,Temperature_Units,Value_Average,Temperature_Average,Pressure,Process,Direction_of_Measurement,Resolution,DOI,Title,Access_Type,Publisher,Publication_Year,Authors,Journal,kL_avg,composition_name
2,Bi2Te3,,,ThermCond,lattice,κlat,[1.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.2,295.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.2,Bi2Te3
2,Bi2Te3,,,ThermCond,lattice,κlat,[1.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.2,295.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.2,Bi2Te3
4,Sb2Te3,,,ThermCond,lattice,κlat,[1.15],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.15,295.0,,,in-plane direction,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.15,Sb2Te3
4,Sb2Te3,,,ThermCond,lattice,κlat,[1.15],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.15,295.0,,,in-plane direction,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.15,Sb2Te3
6,Bi2Te3,,,ThermCond,lattice,κlat,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.8,Bi2Te3
6,Bi2Te3,,,ThermCond,lattice,κlat,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.8,Bi2Te3
7,BiSbSe3,,point defects,ThermCond,lattice,κlat,[0.64],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.64,295.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,0.64,BiSbSe3
9,Bi2Se3,,,ThermCond,lattice,lattice thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.8,Bi2Se3
9,Bi2Se3,,,ThermCond,lattice,lattice thermal conductivity,[1.8],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.8,300.0,,,,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,1.8,Bi2Se3
20,MoS2,,,ThermCond,total,thermal conductivity,[40.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),40.0,295.0,,,in-plane and cross-plane directions,,10.1039/d0ta00240b,Layered materials with 2D connectivity for thermoelectric energy conversion,payment,RSC,2020,"Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas, Manisha Samanta, Tanmoy Ghosh, Sushmita Chandra, Kanishka Biswas",Journal of Materials Chemistry A,40.0,MoS2
