,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
0,Sn49Te50V,PF,,[0.00374],[873.0],0.00374,873.0,JMC_data
1,CrPb50Te50,PF,,[0.0033],[295],0.0033,295.0,JMC_data
2,Ba100O300Sn99Ta,PF,,[100000.0],[463.0],100000.0,463.0,JMC_data
3,Ba20Co3O60Sn17,PF,,[6000000000.0],[470.0],6000000000.0,470.0,JMC_data
4,Cu2Te,PF,,[0.00017999999999999998],[588.0],0.00018,588.0,JMC_data
5,Cu2Te,PF,,[0.0009000000000000001],[600.0],0.0009000000000000002,600.0,JMC_data
6,Bi2Ca48Co50O125,PF,,[0.00044000000000000007],[973.0],0.00044,973.0,JMC_data
7,Ca2Co2O5,PF,,[0.00032],[973.0],0.00032,973.0,JMC_data
8,Ba30C7Co20O81,PF,,[900.0000000000001],[295],900.0,295.0,JMC_data
9,OZn,PF,,[0.00018],[643.0],0.00018,643.0,JMC_data
10,Al2O3,PF,,[0.00043],[600.0],0.00043,600.0,JMC_data
11,Al2O3,PF,,[0.00026000000000000003],[295],0.00026000000000000003,295.0,JMC_data
12,AgSbSn18Te20,PF,,[0.00198],[723.0],0.00198,723.0,JMC_data
13,AgSbSn18Te20,PF,,[0.00198],[673.0],0.00198,673.0,JMC_data
14,AgSbSn18Te20,PF,,[0.00198],[723.0],0.00198,723.0,JMC_data
15,AgSbSn18Te20,PF,,[0.00198],[723.0],0.00198,723.0,JMC_data
16,Bi200Se30Te271,PF,,[0.00267],[300.0],0.00267,300.0,JMC_data
17,Bi20Se3Te27,PF,,[0.0022],[300.0],0.0022,300.0,JMC_data
18,Bi200Se30Te273,PF,,[0.0018100000000000002],[498.0],0.0018100000000000002,498.0,JMC_data
19,Bi20Se3Te27,PF,,[0.0008],[498.0],0.0008,498.0,JMC_data
20,Bi40Se3Te57,PF,,[0.0014],[405.0],0.0014,405.0,JMC_data
21,CoSnTa,PF,,[0.001093],[820.0],0.001093,820.0,JMC_data
22,CoSnTa,PF,,[0.001093],[820.0],0.001093,820.0,JMC_data
23,CoSnTa,PF,,[0.001093],[820.0],0.001093,820.0,JMC_data
24,CeO2,PF,,[6.25e-10],[673.0],6e-10,673.0,JMC_data
25,CoNbSn,PF,,[0.0035],[1000.0],0.0035,1000.0,JMC_data
26,O60Sr19Ti20Y,PF,,[0.0009029999999999999],[665.0],0.0009029999999999999,665.0,JMC_data
27,Ag,PF,,[0.0022],[720.0],0.0022,720.0,JMC_data
28,PbTe,PF,,[0.005616],[500.0],0.0056159999999999995,500.0,JMC_data
29,FeLaO3,PF,,[0.0001],[1050.0],0.0001,1050.0,JMC_data
30,FeLa10Ni9O30,PF,,[7e-05],[800.0],7.000000000000001e-05,800.0,JMC_data
31,CrGeTe3,PF,,[0.0007],[833.0],0.0007,833.0,JMC_data
32,DEOPT,PF,,[0.00046899999999999996],[295],0.000469,295.0,JMC_data
33,Mg40Si7Sn13,PF,,[0.00256],[500.0],0.00256,500.0,JMC_data
34,Mg40Si7Sn13,PF,,[0.00256],[500.0],0.00256,500.0,JMC_data
35,Al2Fe2Mn18Si33,PF,,[0.00195],[800.0],0.00195,800.0,JMC_data
36,Cu10MgO20Rh9,PF,,[0.0007],[1000.0],0.0007,1000.0,JMC_data
37,Br,PF,,[0.0005],[773.0],0.0005,773.0,JMC_data
38,TeZn,PF,,[0.0045000000000000005],[295],0.0045000000000000005,295.0,JMC_data
39,TeZn,PF,,[0.00445],[295],0.00445,295.0,JMC_data
40,TeZn,PF,,[0.0043],[295],0.0043,295.0,JMC_data
41,TeZn,PF,,[0.0045000000000000005],[373.0],0.0045000000000000005,373.0,JMC_data
42,Bi50Cu50O53Te50,PF,,[0.000624],[723.0],0.000624,723.0,JMC_data
43,Bi50Cu50O53Te50,PF,,[0.000624],[723.0],0.000624,723.0,JMC_data
44,BiCuOTe,PF,,[0.0005369999999999999],[723.0],0.0005369999999999999,723.0,JMC_data
45,GeTe,PF,,[0.004200000000000001],[673.0],0.004200000000000001,673.0,JMC_data
46,GeTe,PF,,[0.004200000000000001],[673.0],0.004200000000000001,673.0,JMC_data
47,InTe,PF,,[0.00063],[541.0],0.00063,541.0,JMC_data
48,Bi19Cu20O19SSe20Zn,PF,,[0.00045999999999999996],[750.0],0.00046,750.0,JMC_data
49,Ru,PF,,[0.000155],[873.0],0.000155,873.0,JMC_data
50,Bi2Te3,PF,,[0.001473],[295],0.001473,295.0,JMC_data
51,NaNbO3,PF,,[4.35e-05],[295],4.35e-05,295.0,JMC_data
52,MnTe,PF,,[6.479999999999999e-05],[295],6.48e-05,295.0,JMC_data
53,MnTe,PF,,[6.479999999999999e-05],[295],6.48e-05,295.0,JMC_data
54,Cu3Mn37Te40,PF,,[1.8399999999999997e-05],[295],1.84e-05,295.0,JMC_data
55,Cu3Mn37Te40,PF,,[0.0005842],[773.0],0.0005842000000000001,773.0,JMC_data
