,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
0,Ca48DyMn50O150Yb,ThermCond,total,[1.47],[973.0],1.47,973.0,JMC_data
1,Ca49DyMn50O150,ThermCond,total,[2.2],[973.0],2.2,973.0,JMC_data
2,Bi2Te3,ThermCond,lattice,[1.2],[295],1.2,295.0,JMC_data
3,Bi2Te3,ThermCond,lattice,[0.7],[300.0],0.7000000000000001,300.0,JMC_data
4,Sb2Te3,ThermCond,lattice,[1.15],[295],1.15,295.0,JMC_data
5,BiSb3Te6,ThermCond,lattice,[0.3],[320.0],0.30000000000000004,320.0,JMC_data
6,Bi2Te3,ThermCond,lattice,[1.8],[300.0],1.8,300.0,JMC_data
7,BiSbSe3,ThermCond,lattice,[0.64],[295],0.64,295.0,JMC_data
8,BiSe,ThermCond,lattice,[0.6],[300.0],0.6000000000000001,300.0,JMC_data
9,Bi2Se3,ThermCond,lattice,[1.8],[300.0],1.8,300.0,JMC_data
10,AgS15Se85Sn99,ThermCond,lattice,[0.11],[823.0],0.11,823.0,JMC_data
11,SeSn,ThermCond,lattice,[0.18],[873.0],0.18,873.0,JMC_data
12,SeSn,ThermCond,lattice,[0.3],"[300.0, 720.0]",0.30000000000000004,510.0,JMC_data
13,H,ThermCond,lattice,[0.11],[773.0],0.11,773.0,JMC_data
14,Se2Sn,ThermCond,lattice,[0.67],[295],0.67,295.0,JMC_data
15,GeSe,ThermCond,lattice,[0.39],[800.0],0.39,800.0,JMC_data
16,SeSn,ThermCond,lattice,[0.9],[300.0],0.9,300.0,JMC_data
17,MoS2,ThermCond,total,[40.0],[295],40.0,295.0,JMC_data
18,S2Ti,ThermCond,lattice,[4.0],[295],4.0,295.0,JMC_data
19,AgCrSe2,ThermCond,lattice,"[0.4, 0.6]","[200.0, 500.0]",0.5,350.0,JMC_data
20,BiCuOSe,ThermCond,lattice,[0.6],[295],0.6000000000000001,295.0,JMC_data
21,CoSb3,ThermCond,lattice,"[8.0, 10.0]",[295],9.0,295.0,JMC_data
22,Co100Sb299,ThermCond,lattice,[8.9],[295],8.9,295.0,JMC_data
23,CoSb3,ThermCond,lattice,[10.0],[295],10.0,295.0,JMC_data
24,Co400Sb1146Te43,ThermCond,lattice,[3.9],[295],3.9,295.0,JMC_data
25,Co8Sb23Te,ThermCond,lattice,[3.4],[295],3.4,295.0,JMC_data
26,Co400S26Sb1111Te73,ThermCond,lattice,[1.5],[295],1.5,295.0,JMC_data
27,CoSbTi,ThermCond,total,[24.0],[295],24.0,295.0,JMC_data
28,Co3O4,ThermCond,total,[1.6],[1073.0],1.6,1073.0,JMC_data
29,Co3O4,ThermCond,total,[2.1],"[500.0, 1100.0]",2.1,800.0,JMC_data
30,CO7,ThermCond,total,[1.6],[1073.0],1.6,1073.0,JMC_data
31,Cu2Se,ThermCond,lattice,[0.38],[300.0],0.38,300.0,JMC_data
32,BST,ThermCond,total,[0.87],[398.0],0.87,398.0,JMC_data
33,BST,ThermCond,lattice,[0.46],[348.0],0.46,348.0,JMC_data
34,BiSb3Te6,ThermCond,total,[1.1],[295],1.1,295.0,JMC_data
35,Co2NaO4,ThermCond,total,[1.8],[295],1.8,295.0,JMC_data
36,BiSb3Te6,ThermCond,lattice,[0.33],[320.0],0.33,320.0,JMC_data
37,Ba4Ga8Ge15,ThermCond,total,[3.65],[27.0],3.65,27.0,JMC_data
38,Ba4Ga8Ge15,ThermCond,lattice,[2.25],[295],2.25,295.0,JMC_data
39,NiSnZr,ThermCond,lattice,[11.1],[300.0],11.1,300.0,JMC_data
40,InSb9Yb11,ThermCond,lattice,[0.6],[300.0],0.6000000000000001,300.0,JMC_data
41,Cu59Sb20Se80,ThermCond,total,[2.98],[300.0],2.98,300.0,JMC_data
42,InSb,ThermCond,lattice,[17.0],[295],17.0,295.0,JMC_data
43,Cu2Se,ThermCond,lattice,[0.8],[295],0.8,295.0,JMC_data
44,InSb,ThermCond,lattice,[17.0],[295],17.0,295.0,JMC_data
45,Ga3In17Sb20,ThermCond,lattice,[6.0],[295],6.0,295.0,JMC_data
46,InSb,ThermCond,lattice,[14.5],[295],14.5,295.0,JMC_data
47,Ga2In3Sb5,ThermCond,lattice,[5.0],[295],5.0,295.0,JMC_data
48,GaSb,ThermCond,lattice,[24.3],[770.0],24.3,770.0,JMC_data
49,Ga2In3Sb5,ThermCond,lattice,[5.0],[295],5.0,295.0,JMC_data
50,Cu2Se,ThermCond,lattice,[0.8],[295],0.8,295.0,JMC_data
51,InSb,ThermCond,lattice,[14.5],[295],14.5,295.0,JMC_data
52,Ga2In3Sb5,ThermCond,lattice,[5.0],[295],5.0,295.0,JMC_data
53,SnTe,ThermCond,total,[0.31],[300.0],0.31,300.0,JMC_data
54,Bi2SeTe2,ThermCond,lattice,[1.3],[295],1.3,295.0,JMC_data
55,Bi2STe2,ThermCond,total,[3.96],[295],3.96,295.0,JMC_data
56,Bi2SeTe2,ThermCond,total,[3.92],[295],3.92,295.0,JMC_data
57,Bi2Te3,ThermCond,total,[2.5],[300.0],2.5,300.0,JMC_data
58,CS,ThermCond,total,[1.28],[295],1.28,295.0,JMC_data
59,CS2,ThermCond,total,[0.97],[295],0.97,295.0,JMC_data
60,CoSb3,ThermCond,total,[9.0],[300.0],9.0,300.0,JMC_data
61,CS,ThermCond,total,[0.7],[673.0],0.7000000000000001,673.0,JMC_data
62,CoSb3,ThermCond,total,[10.0],[300.0],10.0,300.0,JMC_data
63,CoSb3,ThermCond,total,[5.0],[650.0],5.0,650.0,JMC_data
64,Cu3SbSe3,ThermCond,total,"[0.7, 1.0]",[300.0],0.85,300.0,JMC_data
65,Bi2Te3,ThermCond,total,[0.27],[350.0],0.27,350.0,JMC_data
66,Ce7Co50Fe30Sb240,ThermCond,lattice,[1.8],[295],1.8,295.0,JMC_data
67,Cu13Ge3S16V,ThermCond,lattice,[0.33],[663.0],0.33,663.0,JMC_data
68,Sb3Zn4,ThermCond,total,[1.05],[300.0],1.05,300.0,JMC_data
69,Bi23Cu8S40,ThermCond,lattice,[0.57],[300.0],0.5700000000000001,300.0,JMC_data
70,Bi588Cu211Se1000Zn,ThermCond,lattice,"[0.56, 0.37]",[300.0],0.465,300.0,JMC_data
71,AlGaO50Zn48,ThermCond,total,[5.0],[1247.0],5.0,1247.0,JMC_data
72,Cd89Mg11O100,ThermCond,total,[2.06],[1000.0],2.06,1000.0,JMC_data
73,Cd89Mg11O100,ThermCond,total,[2.06],[1000.0],2.06,1000.0,JMC_data
74,CaMnO3,ThermCond,total,"[3.5, 2.5]","[300.0, 1000.0]",3.0,650.0,JMC_data
75,Ca25Mn24MoO75,ThermCond,total,[3.5],[295],3.5,295.0,JMC_data
76,B6Sr,ThermCond,total,[20.0],[295],20.0,295.0,JMC_data
77,B6Ba,ThermCond,total,[12.0],[295],12.0,295.0,JMC_data
78,B4Yb,ThermCond,total,[1.06],[296.0],1.06,296.0,JMC_data
79,MoS2,ThermCond,lattice,[1.35],[295],1.35,295.0,JMC_data
80,MoS2,ThermCond,lattice,[34.5],[295],34.5,295.0,JMC_data
81,MoS2,ThermCond,total,[34.06],[295],34.06,295.0,JMC_data
82,Ag50CdSb49Se100,ThermCond,total,[0.36],[295],0.36,295.0,JMC_data
83,Ag50CdSb49Se100,ThermCond,lattice,[0.34],[295],0.34,295.0,JMC_data
84,AgSbTe2,ThermCond,lattice,[0.6],[295],0.6000000000000001,295.0,JMC_data
85,Bi2O2Se,ThermCond,total,[0.74],[300.0],0.74,300.0,JMC_data
86,BiTe6Tl9,ThermCond,total,[0.5],[300.0],0.5,300.0,JMC_data
87,PbTe,ThermCond,total,[1.0],[500.0],1.0,500.0,JMC_data
88,Cu2Se,ThermCond,lattice,[0.2],[850.0],0.2,850.0,JMC_data
89,O44Ti25,ThermCond,total,[1.6],[973.0],1.6,973.0,JMC_data
90,NiSnZr,ThermCond,lattice,[12.39],[300.0],12.39,300.0,JMC_data
91,NiSnZr,ThermCond,lattice,[10.9],[300.0],10.9,300.0,JMC_data
92,PbTe,ThermCond,total,[1.7],[295],1.7000000000000002,295.0,JMC_data
93,PbS,ThermCond,total,[2.5],[295],2.5,295.0,JMC_data
94,PbSe,ThermCond,total,[1.7],[295],1.7000000000000002,295.0,JMC_data
95,OZn,ThermCond,total,[5.0],[300.0],5.0,300.0,JMC_data
96,Sb3Zn4,ThermCond,total,[6.5],[670.0],6.5,670.0,JMC_data
97,AgSbSn25Te27,ThermCond,total,[3.4],[300.0],3.4,300.0,JMC_data
98,AgSbSe2Sn10Te10,ThermCond,lattice,[0.6],[300.0],0.6000000000000001,300.0,JMC_data
99,C2O,ThermCond,total,"[1.2, 1.5]",[295],1.35,295.0,JMC_data
100,BC2O,ThermCond,total,[0.3],[300.0],0.30000000000000004,300.0,JMC_data
101,BC2O,ThermCond,lattice,[0.283],[300.0],0.28300000000000003,300.0,JMC_data
102,Ba50Cu287Se23Te327,ThermCond,lattice,[0.51],[305.0],0.51,305.0,JMC_data
103,AgBiPbSe3,ThermCond,lattice,"[0.5, 0.4]","[290.0, 820.0]",0.45,555.0,JMC_data
104,AgBiPbSe3,ThermCond,lattice,"[0.5, 0.4]","[290.0, 823.0]",0.45,556.5,JMC_data
105,AgBiPbSe3,ThermCond,lattice,[0.23],[823.0],0.23,823.0,JMC_data
106,AgBiPbSe3,ThermCond,lattice,[0.6],[290.0],0.6000000000000001,290.0,JMC_data
107,Cu11GeTe28,ThermCond,lattice,[0.1],[300.0],0.1,300.0,JMC_data
