,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
16064,GeSi,Seebeck,,Seebeck coefficient,"[0.0003, 0.00039999999999999996]",[873.0],0.00035000000000000005,873.0
16065,GeSi,Seebeck,,Seebeck coefficient,"[0.00019999999999999998, 0.00039999999999999996]",[873.0],0.00030000000000000003,873.0
16066,CuS,Seebeck,,S,[1.91e-06],[293.0],1.91e-06,293.0
16067,SbZn,Seebeck,,Seebeck coefficient,[0.000196],[295],0.000196,295.0
16069,GeTe,Seebeck,,Thermoelectric power,"[3.5e-05, 7.999999999999999e-05]",[300.0],5.75e-05,300.0
16070,GeTe,Seebeck,,S,[0.00016999999999999999],[300.0],0.00016999999999999999,300.0
16072,Ag30Ca300Co397O900,Seebeck,,S,[9.499999999999999e-05],[300.0],9.5e-05,300.0
16073,BOS,Seebeck,,Seebeck coefficient,[5.8899999999999995e-05],[820.0],5.89e-05,820.0
16074,BOS,Seebeck,,S,[5.8899999999999995e-05],[820.0],5.89e-05,820.0
16075,BOS,Seebeck,,S,[5.8899999999999995e-05],[820.0],5.89e-05,820.0
16076,CuFeO2,Seebeck,,thermoelectric power,[0.0006],[295],0.0006000000000000001,295.0
16077,CeFe4Sb12,Seebeck,,thermopower,[7.5e-05],[295],7.5e-05,295.0
16078,CoSb3,Seebeck,,thermopower,[0.00022999999999999998],[295],0.00022999999999999998,295.0
16079,CoSnTa,Seebeck,,maximum Seebeck coefficient,[0.00024941],[1000.0],0.00024941,1000.0
16080,NbO15Sr5Ti4,Seebeck,,S,[-0.00017999999999999998],[1000.0],-0.00018,1000.0
16082,Co2NaO4,Seebeck,,thermoelectric power,[9.999999999999999e-05],[300.0],0.0001,300.0
16083,SnTe,Seebeck,,thermopower,"[4.9999999999999996e-05, 7.5e-05]",[295],6.25e-05,295.0
16084,LaMo8O14,Seebeck,,Seebeck coefficient,[-3.7e-05],[295],-3.7e-05,295.0
16085,CeMo8O14,Seebeck,,Seebeck coefficient,[-4.9e-05],[295],-4.9e-05,295.0
16086,Mo8NdO14,Seebeck,,Seebeck coefficient,[-1.8e-05],[295],-1.8e-05,295.0
16087,Mo8O14Sm,Seebeck,,Seebeck coefficient,[-1.2e-05],[295],-1.2e-05,295.0
16088,Mo8NdO14,Seebeck,,Seebeck coefficient,[-6.2e-05],[1000.0],-6.2e-05,1000.0
16089,PbTe,Seebeck,,Seebeck coefficient,[0.0006797999999999999],[295],0.0006797999999999999,295.0
16090,PbTe,Seebeck,,Seebeck coefficient,[0.00019549999999999998],[295],0.0001955,295.0
16091,AgBi50Sb149Te300,Seebeck,,Seebeck coefficient,[0.00010499999999999999],[300.0],0.000105,300.0
16092,O473Ti250,Seebeck,,Seebeck coefficient,[-0.00015999999999999999],[750.0],-0.00016,750.0
16094,LaMo8O14,Seebeck,,highest Seebeck coefficient,[-0.000137],[295],-0.00013700000000000002,295.0
16095,Mo8NdO14,Seebeck,,Seebeck coefficient,[-2.8e-05],[295],-2.8000000000000003e-05,295.0
16096,CrCuSe2,Seebeck,,thermoelectric power,[9.999999999999999e-05],[2.0],0.0001,2.0
16097,Cu2Si2Yb,Seebeck,,thermopower,[-2.8e-05],[295],-2.8000000000000003e-05,295.0
16098,Ca3Co4O9,Seebeck,,Seebeck coefficient,[0.00028],[1000.0],0.00028000000000000003,1000.0
16099,Ca3Co4O9,Seebeck,,S,[0.00016999999999999999],[973.0],0.00016999999999999999,973.0
16100,Ca3Co4O9,Seebeck,,S,[0.00018999999999999998],[973.0],0.00018999999999999998,973.0
16101,PbSe,Seebeck,,Seebeck coefficient,[0.000137],[293.0],0.00013700000000000002,293.0
16102,CaTe,Seebeck,,Seebeck coefficient,[5.6999999999999996e-05],[300.0],5.7e-05,300.0
16103,B66Er,Seebeck,,α,[0.0006],[295],0.0006000000000000001,295.0
16105,Ca3Co4O9,Seebeck,,Seebeck coefficient,[0.000173],[1000.0],0.000173,1000.0
16106,Ca3Co4O9,Seebeck,,Seebeck coefficient,[0.000164],[650.0],0.000164,650.0
16107,CoLaO3,Seebeck,,Seebeck coefficient,[0.0006],[295],0.0006000000000000001,295.0
16108,BCu,Seebeck,,S,[2.9999999999999997e-05],[773.0],3.0000000000000008e-05,773.0
16109,PbTe,Seebeck,,Seebeck coefficient,[0.000196],[295],0.000196,295.0
16110,O2Ti,Seebeck,,Seebeck coefficient,[-9.999999999999999e-05],[390.0],-0.0001,390.0
16111,Bi2Cu2O4Se2Y,Seebeck,,S,[1.9999999999999998e-05],"[300.0, 873.0]",2e-05,586.5
16112,GePdZr,Seebeck,,Seebeck coefficient,[0.000237],[295],0.00023700000000000001,295.0
16113,Cu2LaSi2,Seebeck,,S,[2e-06],[90.0],2e-06,90.0
16116,CdSb2Yb2,Seebeck,,highest Seebeck coefficient,[0.000217],[295],0.000217,295.0
16117,CO,Seebeck,,S,[0.000167],[873.0],0.000167,873.0
16118,Mn51Te49,Seebeck,,Seebeck coefficient,[0.000414],[773.0],0.000414,773.0
16119,O3SrTi,Seebeck,,α,[-0.000198],[295],-0.000198,295.0
