,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
0,Ca48DyMn50O150Yb,ThermCond,total,thermal conductivity,[1.47],[973.0],1.47,973.0
1,Ca49DyMn50O150,ThermCond,total,thermal conductivity,[2.2],[973.0],2.2,973.0
2,Bi2Te3,ThermCond,lattice,κlat,[1.2],[295],1.2,295.0
3,Bi2Te3,ThermCond,lattice,κlat,[0.7],[300.0],0.7000000000000001,300.0
4,Sb2Te3,ThermCond,lattice,κlat,[1.15],[295],1.15,295.0
5,BiSb3Te6,ThermCond,lattice,κlat,[0.3],[320.0],0.30000000000000004,320.0
6,Bi2Te3,ThermCond,lattice,κlat,[1.8],[300.0],1.8,300.0
7,BiSbSe3,ThermCond,lattice,κlat,[0.64],[295],0.64,295.0
8,BiSe,ThermCond,lattice,lattice thermal conductivity,[0.6],[300.0],0.6000000000000001,300.0
9,Bi2Se3,ThermCond,lattice,lattice thermal conductivity,[1.8],[300.0],1.8,300.0
10,AgS15Se85Sn99,ThermCond,lattice,κlat,[0.11],[823.0],0.11,823.0
11,SeSn,ThermCond,lattice,κlat,[0.18],[873.0],0.18,873.0
12,SeSn,ThermCond,lattice,κlat,[0.3],"[300.0, 720.0]",0.30000000000000004,510.0
13,H,ThermCond,lattice,κlat,[0.11],[773.0],0.11,773.0
14,Se2Sn,ThermCond,lattice,κlat,[0.67],[295],0.67,295.0
15,GeSe,ThermCond,lattice,minimum κlat,[0.39],[800.0],0.39,800.0
19,SeSn,ThermCond,lattice,κlat,[0.9],[300.0],0.9,300.0
20,MoS2,ThermCond,total,thermal conductivity,[40.0],[295],40.0,295.0
21,S2Ti,ThermCond,lattice,κlat,[4.0],[295],4.0,295.0
22,AgCrSe2,ThermCond,lattice,κlat,"[0.4, 0.6]","[200.0, 500.0]",0.5,350.0
23,BiCuOSe,ThermCond,lattice,κlat,[0.6],[295],0.6000000000000001,295.0
25,CoSb3,ThermCond,lattice,lattice thermal conductivity,"[8.0, 10.0]",[295],9.0,295.0
26,Co100Sb299,ThermCond,lattice,lattice thermal conductivity,[8.9],[295],8.9,295.0
27,CoSb3,ThermCond,lattice,lattice thermal conductivity,[10.0],[295],10.0,295.0
28,Co400Sb1146Te43,ThermCond,lattice,lattice thermal conductivity,[3.9],[295],3.9,295.0
29,Co8Sb23Te,ThermCond,lattice,lattice thermal conductivity,[3.4],[295],3.4,295.0
30,Co400S26Sb1111Te73,ThermCond,lattice,κL,[1.5],[295],1.5,295.0
32,CoSbTi,ThermCond,total,thermal conductivity,[24.0],[295],24.0,295.0
33,Co3O4,ThermCond,total,thermal conductivity,[1.6],[1073.0],1.6,1073.0
34,Co3O4,ThermCond,total,thermal conductivity,[2.1],"[500.0, 1100.0]",2.1,800.0
35,CO7,ThermCond,total,thermal conductivity,[1.6],[1073.0],1.6,1073.0
38,Cu2Se,ThermCond,lattice,κl,[0.38],[300.0],0.38,300.0
39,BST,ThermCond,total,κ,[0.87],[398.0],0.87,398.0
40,BST,ThermCond,lattice,κL,[0.46],[348.0],0.46,348.0
41,BiSb3Te6,ThermCond,total,thermal conductivity,[1.1],[295],1.1,295.0
42,Co2NaO4,ThermCond,total,thermal conductivity,[1.8],[295],1.8,295.0
43,BiSb3Te6,ThermCond,lattice,lattice thermal conductivity,[0.33],[320.0],0.33,320.0
44,Ba4Ga8Ge15,ThermCond,total,thermal conductivity,[3.65],[27.0],3.65,27.0
45,Ba4Ga8Ge15,ThermCond,lattice,κL,[2.25],[295],2.25,295.0
46,NiSnZr,ThermCond,lattice,κlat,[11.1],[300.0],11.1,300.0
47,InSb9Yb11,ThermCond,lattice,κlat,[0.6],[300.0],0.6000000000000001,300.0
49,Cu59Sb20Se80,ThermCond,total,thermal conductivity,[2.98],[300.0],2.98,300.0
50,InSb,ThermCond,lattice,lattice thermal conductivity,[17.0],[295],17.0,295.0
52,Cu2Se,ThermCond,lattice,lattice thermal conductivity,[0.8],[295],0.8,295.0
53,InSb,ThermCond,lattice,κL,[17.0],[295],17.0,295.0
54,Ga3In17Sb20,ThermCond,lattice,κL,[6.0],[295],6.0,295.0
55,InSb,ThermCond,lattice,κL,[14.5],[295],14.5,295.0
56,Ga2In3Sb5,ThermCond,lattice,κL,[5.0],[295],5.0,295.0
57,GaSb,ThermCond,lattice,κL,[24.3],[770.0],24.3,770.0
58,Ga2In3Sb5,ThermCond,lattice,κL,[5.0],[295],5.0,295.0
60,Cu2Se,ThermCond,lattice,κL,[0.8],[295],0.8,295.0
61,InSb,ThermCond,lattice,lattice thermal conductivity,[14.5],[295],14.5,295.0
62,Ga2In3Sb5,ThermCond,lattice,lattice thermal conductivity,[5.0],[295],5.0,295.0
63,SnTe,ThermCond,total,thermal conductivities,[0.31],[300.0],0.31,300.0
64,Bi2SeTe2,ThermCond,lattice,lattice thermal conductivity,[1.3],[295],1.3,295.0
65,Bi2STe2,ThermCond,total,κ,[3.96],[295],3.96,295.0
66,Bi2SeTe2,ThermCond,total,κ,[3.92],[295],3.92,295.0
67,Bi2Te3,ThermCond,total,κ,[2.5],[300.0],2.5,300.0
68,CS,ThermCond,total,thermal conductivity,[1.28],[295],1.28,295.0
69,CS2,ThermCond,total,thermal conductivity,[0.97],[295],0.97,295.0
70,CoSb3,ThermCond,total,κtotal,[9.0],[300.0],9.0,300.0
71,CS,ThermCond,total,κtotal,[0.7],[673.0],0.7000000000000001,673.0
72,CoSb3,ThermCond,total,thermal conductivity,[10.0],[300.0],10.0,300.0
73,CoSb3,ThermCond,total,κ,[5.0],[650.0],5.0,650.0
74,Cu3SbSe3,ThermCond,total,thermal conductivity,"[0.7, 1.0]",[300.0],0.85,300.0
75,Bi2Te3,ThermCond,total,thermal conductivity,[0.27],[350.0],0.27,350.0
76,Ce7Co50Fe30Sb240,ThermCond,lattice,lattice thermal conductivity,[1.8],[295],1.8,295.0
77,Cu13Ge3S16V,ThermCond,lattice,κlat,[0.33],[663.0],0.33,663.0
80,Sb3Zn4,ThermCond,total,κ,[1.05],[300.0],1.05,300.0
81,Bi23Cu8S40,ThermCond,lattice,κlat,[0.57],[300.0],0.5700000000000001,300.0
82,Bi588Cu211Se1000Zn,ThermCond,lattice,κlat,"[0.56, 0.37]",[300.0],0.465,300.0
83,AlGaO50Zn48,ThermCond,total,thermal conductivity,[5.0],[1247.0],5.0,1247.0
84,Cd89Mg11O100,ThermCond,total,κ,[2.06],[1000.0],2.06,1000.0
85,Cd89Mg11O100,ThermCond,total,thermal conductivity,[2.06],[1000.0],2.06,1000.0
86,CaMnO3,ThermCond,total,thermal conductivity,"[3.5, 2.5]","[300.0, 1000.0]",3.0,650.0
87,Ca25Mn24MoO75,ThermCond,total,thermal conductivity,[3.5],[295],3.5,295.0
88,B6Sr,ThermCond,total,thermal conductivity,[20.0],[295],20.0,295.0
89,B6Ba,ThermCond,total,thermal conductivity,[12.0],[295],12.0,295.0
90,B4Yb,ThermCond,total,thermal conductivity,[1.06],[296.0],1.06,296.0
91,MoS2,ThermCond,lattice,phonon thermal conductivity,[1.35],[295],1.35,295.0
92,MoS2,ThermCond,lattice,lattice thermal conductivity,[34.5],[295],34.5,295.0
93,MoS2,ThermCond,total,κ,[34.06],[295],34.06,295.0
95,Ag50CdSb49Se100,ThermCond,total,κtotal,[0.36],[295],0.36,295.0
96,Ag50CdSb49Se100,ThermCond,lattice,κlat,[0.34],[295],0.34,295.0
97,AgSbTe2,ThermCond,lattice,lattice thermal conductivity,[0.6],[295],0.6000000000000001,295.0
98,Bi2O2Se,ThermCond,total,thermal conductivity,[0.74],[300.0],0.74,300.0
99,BiTe6Tl9,ThermCond,total,thermal conductivities,[0.5],[300.0],0.5,300.0
101,PbTe,ThermCond,total,thermal conductivity,[1.0],[500.0],1.0,500.0
103,Cu2Se,ThermCond,lattice,κl,[0.2],[850.0],0.2,850.0
104,O44Ti25,ThermCond,total,thermal conductivity,[1.6],[973.0],1.6,973.0
105,NiSnZr,ThermCond,lattice,κPL,[12.39],[300.0],12.39,300.0
106,NiSnZr,ThermCond,lattice,κPL,[10.9],[300.0],10.9,300.0
