,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
3701,Co40InSb120Yb2,ZT,,maximum ZT,[0.9],[782.0],0.9,782.0
3702,Co40InSb120Yb2,ZT,,maximum ZT,[0.9],[782.0],0.9,782.0
3703,Co40InSb120Yb2,ZT,,maximum ZT,[0.9],[782.0],0.9,782.0
3704,NiSbY,ZT,,figure of merit,[0.065],[295],0.065,295.0
3705,Bi2Te3,ZT,,figure of merit,[1.0],[295],1.0,295.0
3706,SeSn,ZT,,peak ZT,[0.92],[793.0],0.92,793.0
3707,SeSn,ZT,,peak ZT,[0.5],[793.0],0.5,793.0
3708,BiSb3Te6,ZT,,ZT,[0.51],[375.0],0.51,375.0
3709,SeSn,ZT,,highest ZT,[2.6],[923.0],2.6,923.0
3710,Bi2Te3,ZT,,ZT,[0.04],[295],0.04,295.0
3711,BiSb3Te6,ZT,,ZT,[0.51],[375.0],0.51,375.0
3712,BiSb3Te6,ZT,,maximum ZT,[0.51],[375.0],0.51,375.0
3713,BiSb3Te6,ZT,,ZT,[0.51],[375.0],0.51,375.0
3714,Cu599S10Sb200Se790Sm,ZT,,highest figure of merit,[0.55],[648.0],0.55,648.0
3715,Cu599S10Sb200Se790Sm,ZT,,ZT,[0.55],[648.0],0.55,648.0
3716,Cu599S10Sb200Se790Sm,ZT,,ZT,[0.55],[648.0],0.55,648.0
3718,Ni100Sn100Ta3Zr97,ZT,,ZT,[0.6],[800.0],0.6000000000000001,800.0
3719,HfNi20Sn20Zr19,ZT,,ZT,[0.67],[780.0],0.67,780.0
3720,GeSi,ZT,,ZT,[1.3],[1173.0],1.3,1173.0
3721,MnSb11Yb14,ZT,,ZT,[1.0],[1273.0],1.0,1273.0
3723,S2Ti,ZT,,figure of merit,[0.28],[373.0],0.28,373.0
3724,Ca73La227S400,ZT,,maximum figure of merit,[0.00029],[1000.0],0.00029,1000.0
3725,Ba80Bi79Co80NaOy40,ZT,,ZT,[0.21],[923.0],0.21,923.0
3726,Ba2Bi2Co2Oy,ZT,,maximum ZT,[0.17],[923.0],0.17,923.0
3727,Ba80Bi79Co80NaOy40,ZT,,ZT,[0.21],[923.0],0.21,923.0
3728,Ba80Bi79Co80NaOy40,ZT,,ZT,[0.21],[923.0],0.21,923.0
3729,SeSn,ZT,,ZT,[2.6],[923.0],2.6,923.0
3730,SeSn,ZT,,ZT,[1.7],[873.0],1.7000000000000002,873.0
3731,SSn,ZT,,ZT,[0.01],[323.0],0.01,323.0
3732,SSn,ZT,,ZT,"[0.08, 0.25]",[773.0],0.165,773.0
3734,SeSn,ZT,,ZT,"[0.39, 0.66]",[773.0],0.525,773.0
3735,SeSn,ZT,,ZT,"[0.5, 1.2]",[773.0],0.85,773.0
3736,SeSn,ZT,,ZT,[0.8],[800.0],0.8,800.0
3737,SeSn,ZT,,ZT,[1.1],[773.0],1.1,773.0
3738,SSe9Sn10,ZT,,ZT,[1.16],[923.0],1.16,923.0
3741,CuInSn7Te9,ZT,,ZT,[1.0],[873.0],1.0,873.0
3742,CuInSn7Te9,ZT,,maximum ZT,[1.0],[873.0],1.0,873.0
3743,S2Sn,ZT,,ZT,[0.93],[450.0],0.93,450.0
3744,S,ZT,,ZT,[0.93],[450.0],0.93,450.0
3745,S,ZT,,ZT,[0.79],[423.0],0.79,423.0
3749,MoS2,ZT,,p - type ZT,[1.2],[295],1.2,295.0
3750,MoS2,ZT,,p - type ZT,[2.7],[295],2.7,295.0
3751,MoS2,ZT,,figure of merit,[0.3],[300.0],0.30000000000000004,300.0
