,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
0,GeSi,GeSi,Seebeck,,"[0.0003, 0.00039999999999999996]",[873.0],0.00035000000000000005,873.0,JMC_data
1,GeSi,GeSi,Seebeck,,"[0.00019999999999999998, 0.00039999999999999996]",[873.0],0.00030000000000000003,873.0,JMC_data
2,CuS,CuS,Seebeck,,[1.91e-06],[293.0],1.91e-06,293.0,JMC_data
3,SbZn,SbZn,Seebeck,,[0.000196],[295],0.000196,295.0,JMC_data
4,GeTe,GeTe,Seebeck,,"[3.5e-05, 7.999999999999999e-05]",[300.0],5.7499999999999995e-05,300.0,JMC_data
5,GeTe,GeTe,Seebeck,,[0.00016999999999999999],[300.0],0.00017,300.0,JMC_data
6,Ag30Ca300Co397O900,Ca3Co4O9,Seebeck,,[9.499999999999999e-05],[300.0],9.499999999999999e-05,300.0,JMC_data
7,BOS,None,Seebeck,,[5.8899999999999995e-05],[820.0],5.8899999999999995e-05,820.0,JMC_data
8,BOS,None,Seebeck,,[5.8899999999999995e-05],[820.0],5.8899999999999995e-05,820.0,JMC_data
9,BOS,None,Seebeck,,[5.8899999999999995e-05],[820.0],5.8899999999999995e-05,820.0,JMC_data
10,CuFeO2,CuFeO2,Seebeck,,[0.0006],[295],0.0006000000000000001,295.0,JMC_data
11,CeFe4Sb12,CeFe4Sb12,Seebeck,,[7.5e-05],[295],7.5e-05,295.0,JMC_data
12,CoSb3,CoSb3,Seebeck,,[0.00022999999999999998],[295],0.00023,295.0,JMC_data
13,CoSnTa,None,Seebeck,,[0.00024941],[1000.0],0.00024941,1000.0,JMC_data
14,NbO15Sr5Ti4,O3SrTi,Seebeck,,[-0.00017999999999999998],[1000.0],-0.00018,1000.0,JMC_data
15,Co2NaO4,Co2NaO4,Seebeck,,[9.999999999999999e-05],[300.0],0.0001,300.0,JMC_data
16,SnTe,SnTe,Seebeck,,"[4.9999999999999996e-05, 7.5e-05]",[295],6.25e-05,295.0,JMC_data
17,LaMo8O14,LaMo8O14,Seebeck,,[-3.7e-05],[295],-3.7e-05,295.0,JMC_data
18,CeMo8O14,CeMo5O8,Seebeck,,[-4.9e-05],[295],-4.9e-05,295.0,JMC_data
19,Mo8NdO14,Mo8NdO14,Seebeck,,[-1.8e-05],[295],-1.8e-05,295.0,JMC_data
20,Mo8O14Sm,Mo8O14Sm,Seebeck,,[-1.2e-05],[295],-1.2e-05,295.0,JMC_data
21,Mo8NdO14,Mo8NdO14,Seebeck,,[-6.2e-05],[1000.0],-6.2e-05,1000.0,JMC_data
22,PbTe,PbTe,Seebeck,,[0.0006797999999999999],[295],0.0006797999999999999,295.0,JMC_data
23,PbTe,PbTe,Seebeck,,[0.00019549999999999998],[295],0.0001955,295.0,JMC_data
24,AgBi50Sb149Te300,BiSb3Te6,Seebeck,,[0.00010499999999999999],[300.0],0.000105,300.0,JMC_data
25,O473Ti250,O17Ti9,Seebeck,,[-0.00015999999999999999],[750.0],-0.00016,750.0,JMC_data
26,LaMo8O14,LaMo8O14,Seebeck,,[-0.000137],[295],-0.00013700000000000002,295.0,JMC_data
27,Mo8NdO14,Mo8NdO14,Seebeck,,[-2.8e-05],[295],-2.8000000000000006e-05,295.0,JMC_data
28,CrCuSe2,CrCuSe2,Seebeck,,[9.999999999999999e-05],[2.0],0.0001,2.0,JMC_data
29,Cu2Si2Yb,Cu2Si2Yb,Seebeck,,[-2.8e-05],[295],-2.8000000000000006e-05,295.0,JMC_data
30,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.00028],[1000.0],0.00028000000000000003,1000.0,JMC_data
31,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.00016999999999999999],[973.0],0.00017,973.0,JMC_data
32,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.00018999999999999998],[973.0],0.00019,973.0,JMC_data
33,PbSe,PbSe,Seebeck,,[0.000137],[293.0],0.00013700000000000002,293.0,JMC_data
34,CaTe,CaTe,Seebeck,,[5.6999999999999996e-05],[300.0],5.6999999999999996e-05,300.0,JMC_data
35,B66Er,B,Seebeck,,[0.0006],[295],0.0006000000000000001,295.0,JMC_data
36,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.000173],[1000.0],0.000173,1000.0,JMC_data
37,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.000164],[650.0],0.000164,650.0,JMC_data
38,CoLaO3,CoLaO3,Seebeck,,[0.0006],[295],0.0006000000000000001,295.0,JMC_data
39,BCu,None,Seebeck,,[2.9999999999999997e-05],[773.0],3.000000000000001e-05,773.0,JMC_data
40,PbTe,PbTe,Seebeck,,[0.000196],[295],0.000196,295.0,JMC_data
41,O2Ti,O2Ti,Seebeck,,[-9.999999999999999e-05],[390.0],-0.0001,390.0,JMC_data
42,Bi2Cu2O4Se2Y,Bi2Cu2O4Se2Y,Seebeck,,[1.9999999999999998e-05],"[300.0, 873.0]",2e-05,586.5,JMC_data
43,GePdZr,GePdZr,Seebeck,,[0.000237],[295],0.000237,295.0,JMC_data
44,Cu2LaSi2,Cu2LaSi2,Seebeck,,[2e-06],[90.0],2e-06,90.0,JMC_data
45,CdSb2Yb2,CdSb2Yb2,Seebeck,,[0.000217],[295],0.000217,295.0,JMC_data
46,CO,C10MnO10Re,Seebeck,,[0.000167],[873.0],0.000167,873.0,JMC_data
47,Mn51Te49,MnTe,Seebeck,,[0.000414],[773.0],0.000414,773.0,JMC_data
48,O3SrTi,O3SrTi,Seebeck,,[-0.000198],[295],-0.000198,295.0,JMC_data
