,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
0,Co40InSb120Yb2,Co20InSb60,ZT,,[0.9],[782.0],0.9,782.0,JMC_data
1,Co40InSb120Yb2,Co20InSb60,ZT,,[0.9],[782.0],0.9,782.0,JMC_data
2,Co40InSb120Yb2,Co20InSb60,ZT,,[0.9],[782.0],0.9,782.0,JMC_data
3,NiSbY,NiSbY,ZT,,[0.065],[295],0.065,295.0,JMC_data
4,Bi2Te3,Bi2Te3,ZT,,[1.0],[295],1.0,295.0,JMC_data
5,SeSn,SeSn,ZT,,[0.92],[793.0],0.92,793.0,JMC_data
6,SeSn,SeSn,ZT,,[0.5],[793.0],0.5,793.0,JMC_data
7,BiSb3Te6,BiSb3Te6,ZT,,[0.51],[375.0],0.51,375.0,JMC_data
8,SeSn,SeSn,ZT,,[2.6],[923.0],2.6,923.0,JMC_data
9,Bi2Te3,Bi2Te3,ZT,,[0.04],[295],0.04,295.0,JMC_data
10,BiSb3Te6,BiSb3Te6,ZT,,[0.51],[375.0],0.51,375.0,JMC_data
11,BiSb3Te6,BiSb3Te6,ZT,,[0.51],[375.0],0.51,375.0,JMC_data
12,BiSb3Te6,BiSb3Te6,ZT,,[0.51],[375.0],0.51,375.0,JMC_data
13,Cu599S10Sb200Se790Sm,Cu3SbSe4,ZT,,[0.55],[648.0],0.55,648.0,JMC_data
14,Cu599S10Sb200Se790Sm,Cu3SbSe4,ZT,,[0.55],[648.0],0.55,648.0,JMC_data
15,Cu599S10Sb200Se790Sm,Cu3SbSe4,ZT,,[0.55],[648.0],0.55,648.0,JMC_data
16,Ni100Sn100Ta3Zr97,NiSnZr,ZT,,[0.6],[800.0],0.6000000000000001,800.0,JMC_data
17,HfNi20Sn20Zr19,NiSnZr,ZT,,[0.67],[780.0],0.67,780.0,JMC_data
18,GeSi,GeSi,ZT,,[1.3],[1173.0],1.3,1173.0,JMC_data
19,MnSb11Yb14,Sb3Yb4,ZT,,[1.0],[1273.0],1.0,1273.0,JMC_data
20,S2Ti,S2Ti,ZT,,[0.28],[373.0],0.28,373.0,JMC_data
21,Ca73La227S400,CaLa2S4,ZT,,[0.00029],[1000.0],0.00029,1000.0,JMC_data
22,Ba80Bi79Co80NaOy40,None,ZT,,[0.21],[923.0],0.21,923.0,JMC_data
23,Ba2Bi2Co2Oy,None,ZT,,[0.17],[923.0],0.17,923.0,JMC_data
24,Ba80Bi79Co80NaOy40,None,ZT,,[0.21],[923.0],0.21,923.0,JMC_data
25,Ba80Bi79Co80NaOy40,None,ZT,,[0.21],[923.0],0.21,923.0,JMC_data
26,SeSn,SeSn,ZT,,[2.6],[923.0],2.6,923.0,JMC_data
27,SeSn,SeSn,ZT,,[1.7],[873.0],1.7000000000000002,873.0,JMC_data
28,SSn,SSn,ZT,,[0.01],[323.0],0.01,323.0,JMC_data
29,SSn,SSn,ZT,,"[0.08, 0.25]",[773.0],0.165,773.0,JMC_data
30,SeSn,SeSn,ZT,,"[0.39, 0.66]",[773.0],0.525,773.0,JMC_data
31,SeSn,SeSn,ZT,,"[0.5, 1.2]",[773.0],0.85,773.0,JMC_data
32,SeSn,SeSn,ZT,,[0.8],[800.0],0.8,800.0,JMC_data
33,SeSn,SeSn,ZT,,[1.1],[773.0],1.1,773.0,JMC_data
34,SSe9Sn10,SeSn,ZT,,[1.16],[923.0],1.16,923.0,JMC_data
35,CuInSn7Te9,None,ZT,,[1.0],[873.0],1.0,873.0,JMC_data
36,CuInSn7Te9,None,ZT,,[1.0],[873.0],1.0,873.0,JMC_data
37,S2Sn,S2Sn,ZT,,[0.93],[450.0],0.93,450.0,JMC_data
38,S,S,ZT,,[0.93],[450.0],0.93,450.0,JMC_data
39,S,S,ZT,,[0.79],[423.0],0.79,423.0,JMC_data
40,MoS2,MoS2,ZT,,[1.2],[295],1.2,295.0,JMC_data
41,MoS2,MoS2,ZT,,[2.7],[295],2.7,295.0,JMC_data
42,MoS2,MoS2,ZT,,[0.3],[300.0],0.30000000000000004,300.0,JMC_data
43,Cu49NaSe25,Cu2Se,ZT,,[2.1],[973.0],2.1,973.0,JMC_data
44,Cu49NaSe25,Cu2Se,ZT,,[2.1],[973.0],2.1,973.0,JMC_data
45,Cu49NaSe25,Cu2Se,ZT,,[2.1],[973.0],2.1,973.0,JMC_data
46,Cu49NaSe25,Cu2Se,ZT,,[2.1],[973.0],2.1,973.0,JMC_data
