,composition_name,original_file_name
0,Cs10K6Pb36,POSCAR_sg1_icsd_411892
1,Nb2O23Rb4Si8,POSCAR_sg2_icsd_281064
2,Na2O8P2V1,POSCAR_sg100_icsd_050376
3,Er6I7,POSCAR_sg12_icsd_014183
4,F10K5Li2Pr1,POSCAR_sg62_icsd_248019
5,Ag1O4S1,POSCAR_sg15_icsd_290375
6,Ag1O4S1,POSCAR_sg2_icsd_290374
7,H4Na2Pt1,POSCAR_sg139_icsd_638356
8,Ba1Cu6Ge2S8,POSCAR_sg57_icsd_408861
9,As2Cl3F5O1,POSCAR_sg14_icsd_082760
10,P4S7,POSCAR_sg14_icsd_023842
11,H18Cl4K1N6O8Ru1,POSCAR_sg166_icsd_280489
12,C2H24B6N8O2,POSCAR_sg2_icsd_095435
13,H12F3Mo2N3O10,POSCAR_sg13_icsd_202749
14,Fe2Ni1O8P2,POSCAR_sg14_icsd_079907
15,Fe2Ni1O8P2,POSCAR_sg14_icsd_159349
16,Hg3O5Se4,POSCAR_sg2_icsd_418001
17,C6H22O6Pt2S1,POSCAR_sg4_icsd_163060
18,F12S19Sb2,POSCAR_sg14_icsd_065757
19,Eu21Sb18Zn4,POSCAR_sg64_icsd_429155
20,Ba4O10Ru3,POSCAR_sg14_icsd_081524
21,Cl6Gd3N1,POSCAR_sg2_icsd_063582
22,C1F1K3O3,POSCAR_sg167_icsd_066028
23,C1K4O4,POSCAR_sg146_icsd_245418
24,C1K4O4,POSCAR_sg82_icsd_245425
25,O38Sb22Sr5,POSCAR_sg14_icsd_425765
26,Ce14Ni6Si11,POSCAR_sg12_icsd_084199
27,H28Cl6La2N4O26Pt1,POSCAR_sg14_icsd_418135
28,C8H18Gd2O25Sr1,POSCAR_sg62_icsd_792055
29,C2Cl9La5,POSCAR_sg2_icsd_401150
30,C18La14Mn3Sn1,POSCAR_sg174_icsd_422023
31,H26Al1Ba1Mo6Na1O34,POSCAR_sg15_icsd_240881
32,Ca2Cl2Cu1O2,POSCAR_sg139_icsd_001027
